pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2025-07-01	Ad Insertion in LLM-Generated Responses	Workshop on Frontiers of Online Advertising at the 26th ACM Conference on Economics and Computation (EC 2025)	A framework for inserting ads into LLM-generated responses while preserving contextual coherence, efficiency, privacy, and explicit disclosure.	<strong>Shengwei Xu</strong>, Zhaohua Chen, Xiaotie Deng, Zhiyi Huang, and Grant Schoenebeck. (2025). "Ad Insertion in LLM-Generated Responses." <i>Workshop on Frontiers of Online Advertising at the 26th ACM Conference on Economics and Computation (EC 2025)</i>.	ad-insertion-llm-generated-responses	https://arxiv.org/abs/2601.19435	
2025-06-02	Stochastically Dominant Peer Prediction	Advances in Neural Information Processing Systems (NeurIPS 2025)	A stronger peer prediction guarantee that incentivizes truthful reporting for broad classes of monotone utility functions.	Yichi Zhang, <strong>Shengwei Xu</strong>, David Pennock, and Grant Schoenebeck. (2025). "Stochastically Dominant Peer Prediction." <i>Advances in Neural Information Processing Systems (NeurIPS 2025)</i>.	stochastically-dominant-peer-prediction	https://arxiv.org/abs/2506.02259	
2025-01-22	Benchmarking LLMs' Judgments with No Gold Standard	Proceedings of the Thirteenth International Conference on Learning Representations (ICLR 2025)	A benchmark and metric for evaluating LLM judgments in settings without a gold-standard reference.	<strong>Shengwei Xu</strong>, Yuxuan Lu, Grant Schoenebeck, and Yuqing Kong. (2025). "Benchmarking LLMs' Judgments with No Gold Standard." <i>Proceedings of the Thirteenth International Conference on Learning Representations (ICLR 2025)</i>.	benchmarking-llms-judgments-no-gold-standard	https://openreview.net/forum?id=uE84MGbKD7	
2024-05-23	Eliciting Informative Text Evaluations with Large Language Models	Proceedings of the 25th ACM Conference on Economics and Computation (EC 2024)	Peer prediction mechanisms for motivating informative text feedback using Large Language Models as predictors.	Yuxuan Lu, <strong>Shengwei Xu</strong>, Yichi Zhang, Yuqing Kong, and Grant Schoenebeck. (2024). "Eliciting Informative Text Evaluations with Large Language Models." <i>Proceedings of the 25th ACM Conference on Economics and Computation (EC 2024)</i>.	eliciting-informative-text-evaluations-llms	https://arxiv.org/abs/2405.15077	
2024-02-21	Spot Check Equivalence: An Interpretable Metric for Information Elicitation Mechanisms	Proceedings of the ACM Web Conference 2024 (WWW 2024)	An interpretable metric connecting spot-checking and peer prediction mechanisms for information elicitation.	<strong>Shengwei Xu</strong>, Yichi Zhang, Paul Resnick, and Grant Schoenebeck. (2024). "Spot Check Equivalence: An Interpretable Metric for Information Elicitation Mechanisms." <i>Proceedings of the ACM Web Conference 2024 (WWW 2024)</i>.	spot-check-equivalence	https://arxiv.org/abs/2402.13567	
2022-04-25	BONUS! Maximizing Surprise	Proceedings of the ACM Web Conference 2022 (WWW 2022)	An analysis of optimal bonus sizing in multi-round competitions to maximize expected audience surprise.	Zhihuan Huang, Yuqing Kong, Tracy Xiao Liu, Grant Schoenebeck, and <strong>Shengwei Xu</strong>. (2022). "BONUS! Maximizing Surprise." <i>Proceedings of the ACM Web Conference 2022 (WWW 2022)</i>.	bonus-maximizing-surprise	https://arxiv.org/abs/2107.08207	
2021-08-21	SURPRISE! and When to Schedule It	Proceedings of the 30th International Joint Conference on Artificial Intelligence (IJCAI 2021)	A study of when to schedule surprise-maximizing outcomes in multi-round competitions.	Zhihuan Huang, <strong>Shengwei Xu</strong>, You Shan, Yuxuan Lu, Yuqing Kong, Tracy Xiao Liu, and Grant Schoenebeck. (2021). "SURPRISE! and When to Schedule It." <i>Proceedings of the 30th International Joint Conference on Artificial Intelligence (IJCAI 2021)</i>.	surprise-and-when-to-schedule-it	https://www.ijcai.org/proceedings/2021/0036.pdf	
